Date,SP500,Dow_Jones,NASDAQ,SP500_Normalized,Dow_Jones_Normalized,NASDAQ_Normalized
2025-01-01,5881.63,42544.22,19310.79,100.0,100.0,100.0
2025-01-02,5928.393147956632,42431.70511408866,19031.57626176872,100.79507122951685,99.73553426079656,98.55410504577348
2025-01-03,5919.062067495556,42060.64689770479,18929.09226748574,100.63642336385587,98.86336357254825,98.02339659581891
2025-01-04,5979.527228390656,41624.3024637554,19077.35942115908,101.66445744446106,97.83773792011088,98.7911909412255
2025-01-05,6119.121969445507,41229.2993458412,18891.41159857682,104.03785973353486,96.90928484725117,97.82826905878433
2025-01-06,6100.689334537889,41203.52194215483,18619.37589270323,103.72446642406763,96.84869517446748,96.41954520091217
2025-01-07,6082.313726663943,41384.562953297085,18708.495111298536,103.41204269333404,97.27423126642604,96.88104480085245
2025-01-08,6229.433900303538,41534.38705582473,18798.4717155074,105.91339306116735,97.62639215344582,97.34698433107812
2025-01-09,6304.258876024522,41959.12596272016,18634.455479209097,107.1855739994614,98.62473906612969,96.49763411651774
2025-01-10,6263.0156844935855,41978.26027673768,18483.91349936994,106.4843535634439,98.66971418617541,95.71805969289677
2025-01-11,6317.118123277208,42723.05573656491,18568.51250222344,107.40420807288469,100.42035260386702,96.1561515723771
2025-01-12,6276.364717750153,42600.18926963602,18091.94200763572,106.71131502236886,100.13155551949482,93.68825411925519
2025-01-13,6235.656553209306,44003.52598252267,17640.831230729138,106.01919116315214,103.43009222527213,91.35219859326902
2025-01-14,6261.406285850713,44347.10587304295,17419.756404616906,106.45699042358518,104.23767523071983,90.20737320750165
2025-01-15,6084.839614736224,43904.260521953605,17359.796754193318,103.45498806854943,103.19676920144173,89.89687503304276
2025-01-16,5930.444309151988,43353.23088139962,17463.891931561197,100.82994525585573,101.90157648065852,90.43592691734102
2025-01-17,5883.39030813815,43617.23770680737,17934.655795934374,100.02992891661239,102.52212335026326,92.87375501434366
2025-01-18,5796.948791334876,43513.36092500522,18218.70260063233,98.56024250649693,102.2779614363719,94.34467777150665
2025-01-19,5827.172401153569,43899.237667683454,18173.540376460434,99.07410702736433,103.18496300480642,94.11080735930759
2025-01-20,5750.717794867243,44161.704690437095,18174.58913981274,97.77421896425385,103.80189057511713,94.1162383300359
2025-01-21,5631.766753359291,44136.35821464008,17853.88890801665,95.75180270366023,103.7423137964219,92.45550755829589
2025-01-22,5758.395516869687,43701.10643160958,17855.080897059604,97.90475628133166,102.7192564151125,92.46168021639511
2025-01-23,5741.773076080065,42919.81076601556,17769.450509126455,97.62214005437379,100.88282442601029,92.01824735873807
2025-01-24,5750.459937031402,42702.71466228241,17879.77985608358,97.76983484223594,100.37254099918252,92.58958259130559
2025-01-25,5630.440806522238,43154.372116894505,17620.699039130606,95.72925883678907,101.43415983862086,91.2479450044799
2025-01-26,5587.279306327514,43278.1874017547,17792.469793986635,94.99542314507227,101.72518711532308,92.13745162153715
2025-01-27,5599.36927833203,42644.21106215046,18290.46857651422,95.20097793183233,100.23502854712217,94.71631443619975
2025-01-28,5505.496391816558,42745.62629291634,18261.977830545737,93.60494270834033,100.47340459624444,94.56877647442562
2025-01-29,5539.275201278687,42956.09757342087,18401.331531816297,94.17925305193776,100.96811640552082,95.29041293399337
2025-01-30,5492.13829387939,42513.3796074475,18637.284295560035,93.37782713090402,99.92750979439158,96.51228300634016
2025-01-31,5470.854026826456,42604.55810674082,18510.14132928303,93.01595011631905,100.14182445169007,95.8538792523922
2025-02-01,5424.2117182026195,42647.09895490106,18592.209088979274,92.22293340796037,100.2418165261957,96.27886321056401
2025-02-02,5577.631059568488,42074.96067585839,18603.860142483678,94.83138278960914,98.89700804447324,96.33919763243077
2025-02-03,5579.290636999528,42268.22983346483,18644.01043112066,94.85959907371814,99.35128634034149,96.54711397680083
2025-02-04,5493.561132079392,42565.35073338587,18392.051990769032,93.4020183534053,100.04966769489691,95.24235927566419
2025-02-05,5564.088424023229,43131.32581094171,18407.523074752262,94.60112968723345,101.37998959892013,95.3224755421827
2025-02-06,5464.97723793005,43689.68776444367,18579.890554653342,92.91603242519591,102.69241688869526,96.21507227127084
2025-02-07,5484.8312484370135,42980.5153364288,19072.640120289703,93.25359208989707,101.02551024893344,98.76675226797921
2025-02-08,5326.3467650799685,42509.71104889822,19409.59406672651,90.55902471049639,99.91888686382832,100.51165212156783
2025-02-09,5222.894246487891,42785.19196688128,20169.621058487326,88.80011572451669,100.5664035370287,104.4474154526424
2025-02-10,5240.928474853795,43061.81669094732,19899.10093476582,89.10673529028168,101.21660872134292,103.04653996426774
2025-02-11,5301.60269699361,43340.8819046123,20219.511710296236,90.1383238488924,101.87255026561142,104.7057718006163
2025-02-12,5317.881396468145,45357.65353574345,20294.32705995664,90.41509575522679,106.61296301999062,105.09319950119409
2025-02-13,5311.31527942469,45681.99187969454,21102.375175404915,90.30345804521347,107.37531885575653,109.27763791851557
2025-02-14,5289.982087178282,46318.19528150153,20803.789879393462,89.94074920010749,108.87071212376564,107.73142828125344
2025-02-15,5175.306755553728,46862.34241985049,20497.66225363163,87.99102894187033,110.1497275537088,106.14616105105814
2025-02-16,5122.013190011735,47242.709760992286,20284.710654467883,87.08492696772382,111.04377929832134,105.04340140650838
2025-02-17,5089.183228696438,47078.15249286725,19517.337554627724,86.52674902529466,110.65698817105414,101.06959660701465
2025-02-18,5172.42615087612,47521.04636301241,19340.44040152426,87.94205264316388,111.69800824415728,100.15354318246048
2025-02-19,5201.672467354806,47094.597122714775,19083.901297727534,88.4393011351412,110.695641200414,98.82506773533105
2025-02-20,5066.7119420636145,46974.890979344586,19143.196661430888,86.14469019750672,110.41427244251882,99.13212593286389
2025-02-21,5093.875899804106,46715.384649702944,19268.615373476845,86.60653423972786,109.80430396820753,99.78160071895994
2025-02-22,5066.999417539193,46775.296648069394,19927.04467659035,86.14957788128788,109.9451268540577,103.19124529131305
2025-02-23,5018.083466528916,48088.5553302056,20275.919983595122,85.3179045014548,113.03193554895495,104.99787933893498
2025-02-24,5066.634148340682,47025.452870443274,20073.479809100383,86.14336754166246,110.53311794279756,103.94955260297681
2025-02-25,5147.522926228867,47426.82086117623,19756.891643244828,87.51864578745801,111.47653162092578,102.31011596752295
2025-02-26,5222.003474150358,46523.217066759935,19939.732687738524,88.78497073345922,109.35261491868916,103.25694954861258
2025-02-27,5158.878523559886,46273.70456828585,19473.856830611207,87.71171467025104,108.7661369001144,100.84443376273681
2025-02-28,5137.5301265467,46892.26401821865,20123.62655769693,87.34874731233859,110.22005813767099,104.2092351358848
2025-03-01,5165.627029489859,46942.502524942356,20558.899033978094,87.82645337244706,110.33814352441378,106.4632727815801
2025-03-02,5243.799377161859,46349.48083218956,20393.499366096898,89.15554662843225,108.94424867159289,105.60675853290775
2025-03-03,5208.730873300963,45965.53820970075,19772.79422304837,88.55930878516607,108.04179324406643,102.39246671445534
2025-03-04,5196.829524082799,46354.18478671427,20262.56045819316,88.35696097991202,108.95530529579405,104.92869767727346
2025-03-05,5113.186424998243,45961.82444444629,20228.88981266898,86.93485351846755,108.03306405534356,104.75433585404315
2025-03-06,5023.996606134609,46094.99897210593,20687.695064692285,85.41844023059268,108.34609019064384,107.13023685044622
2025-03-07,5087.740509049253,46134.03507875984,20102.23954497688,86.50221977664785,108.4378443858175,104.09848351609064
2025-03-08,5193.787339304086,45787.143849758126,19893.4023955984,88.305237481856,107.62247809398815,103.0170303524527
2025-03-09,5190.774154107254,46978.86090999839,19903.237427070282,88.25400703728819,110.42360374687416,103.06796059130818
2025-03-10,5271.5062306219215,47350.32409120355,19928.02990846007,89.62662103229754,111.29672630313483,103.19634726730531
2025-03-11,5302.737482126071,46213.83529472128,19774.56059324819,90.15761756734223,108.62541443872111,102.40161377783193
